normal_score,corrupted_score
571.5381892552581,3314.8239244013885
669.0191556446479,3199.6912015489274
635.3143477166952,2921.8620190403963
632.7430110572376,2942.5958215712153
723.9422469959419,3970.0951461412124
591.638210824902,2959.6381964064235
652.9819197236131,2896.623737208335
677.1845338986293,2496.3103063067647
759.5864470492992,2321.8378625817427
528.0038776796484,2349.6054636417507
586.2812831918158,2224.2574691452364
553.6083350395596,1993.2830764882383
663.0127138536413,2158.582190565588
558.9719682777421,2212.1223773091697
555.5929352420719,2274.9239854382913
606.9967680163481,2940.7649030329967
654.9254829068465,2295.4622843023967
513.5652275522366,1834.8076881414142
641.1349310276493,2568.3686516010653
446.0594210479605,2684.650735090068
457.836188413476,2049.9467374481937
467.9253649698744,1989.131315879061
453.4404390240361,3580.5939286827524
487.9990887215695,2714.189916260864
394.0832919758773,2625.5708334830197
597.8968083553735,2611.7850052425497
619.9696607388679,2959.0333766671215
498.01505455284445,2232.972465532193
434.0432180082869,2652.5694362687877
600.8545472447647,1817.3016826135563
636.9404028655227,2084.2146543323765
599.7479146970402,2450.022210462102
537.2623313820806,2511.4512593340746
634.8273465664332,2439.793125809757
477.4815445763956,2307.005019246971
608.385850761503,2349.4511045851636
365.73454068910854,1907.50025688668
422.01663482960146,2957.353880717609
397.22083910773523,2391.653547388855
370.3082348795685,2185.8889908295637
407.4049469640659,2116.888315050862
395.7398892025067,2612.5390274911024
478.79957709704496,2198.5869308692872
397.4446982983876,2022.016941140648
348.1864454117775,1949.0063138300986
636.4545097856482,3699.7580747201573
499.83889060689563,2174.9492164766125
355.8851733957797,2099.277176003716
576.6757810640603,2886.1017228843525
363.29991563882317,1946.8248084530876
570.733022067103,3772.770224992264
592.209095366298,4166.229067278093
623.5415107727689,3817.00972365108
541.2282750869399,4265.649971339708
539.7012562425734,3852.6403444473494
617.0214995199323,3429.6304114301593
594.399609575273,3257.618512057456
516.8397628971675,2303.1960709208765
508.8106652195496,2936.3427799895676
425.77690642951,1995.413224871896
365.649404153061,2025.490229943456
494.25196958097877,2386.1756148433087
395.698277556323,2513.4073868516375
350.85092096559316,2664.684892253734
451.66883478777305,1991.1329516250266
528.9631554115173,1896.8245382576472
497.34427148605283,2697.3129896546097
504.34133264312953,2109.9126714515196
539.5393244014787,2558.2514986557026
487.69678010177887,3263.843978295119
385.62624285557627,3164.0369267616093
380.5435469990479,2512.7677593206586
487.76151649933155,2163.432456516608
492.01358387628403,4491.287174056754
575.407268936732,2484.552990639843
431.7663383108721,3720.566707279214
625.2913787499295,3114.776844316207
777.3115102774153,2801.488616800542
541.6732655899635,3794.0749688093542
717.0094047773241,3686.08840191272
712.0757256799079,3525.0286419999284
493.0493156506053,2358.864521488475
517.2469173662778,2069.2623212012677
648.5265695785687,2517.5453471880564
461.2511725105429,2225.6937671288697
889.2532066669842,3909.797864357271
510.1805877852978,3202.7729687147753
601.187282935635,2694.498312135186
616.6260316776682,3089.047656901812
703.664847346743,4258.351474465876
836.0820195710257,2616.33129829136
702.3080918486568,2193.940420905127
658.2640292950975,2390.5185724021203
717.0417542010214,2441.707405773184
457.82461159585506,2575.6525142265778
427.78726369209596,2681.7005570109
657.3205638195418,3327.6599269796916
456.7057593688352,2535.558469526783
612.6583130496906,3046.386894678064
647.025127840372,2631.002218272712
414.9064499206841,2265.859248780897
475.99159093087104,2338.854735999591
530.3892047963851,2155.0147658975707
467.8619036955009,3396.1122205300535
497.24791534068635,2711.2455422750495
461.69007982236377,2022.799873814867
569.2316968614466,2171.1003128867787
438.1041199327892,2011.8378119021886
429.25589101787455,1910.1414022992585
524.3565041202514,2146.825794548611
484.88463195695675,2222.3024813118336
535.7899886003414,2349.6764223101427
640.9456058455763,2396.240361222726
490.22677936682146,2349.4618608667033
478.1344686372073,3828.863590355111
373.2287634715553,2039.346517000571
320.620570068847,1715.8013640041077
432.3300882333099,2137.918483665746
397.5671707251371,2335.839024839476
357.1297738139429,2630.058880603509
311.57528780319046,2689.5728024053114
328.20743535979415,1889.4038530472722
419.07693215699953,2000.6470076037233
387.20133384951373,2116.714491127575
326.3796461008918,1815.6243455786719
443.48945155963185,2434.532590770795
467.57393933521206,2595.5871997807594
620.15574288513,1911.6100830402345
431.03458284483213,2176.8058283642104
382.8311167380949,2246.882630138617
529.4762520775965,4221.713668593918
506.1760609236129,3295.514246115475
485.06079518853414,3545.179992316965
613.8399251304074,3040.8040334983934
585.0025629590348,3239.2635077226623
511.0389618856525,3384.7642646292798
623.0171275010941,1975.700958909961
513.0331410821591,3393.810129693261
746.8323842907578,2308.5976677977765
672.0572943397658,2375.113342603298
799.3947674003164,2192.2690331785125
821.4938773978669,2221.913301652887
1013.8476563762233,2764.3371507057027
969.5226162630673,3333.302941316526
822.3306085460443,2712.6039017341745
885.8891817680316,2583.783698935619
741.5090321280755,2198.3432505059945
1186.2273410660628,3446.7223555620085
750.7343123577289,2092.557465653486
925.4428543564,2484.6172227253514
894.6703625258945,2389.5883086477766
740.9347190536431,2234.6157563270694
693.226054768887,2010.8842271549734
981.2070386830878,2467.8270808734596
708.192636490177,2563.2521095643933
836.5668377904993,2781.2171929447077
760.3360821706722,2711.95240077871
953.5744932549801,2779.3255234407366
754.0555663827638,2276.3383434033244
616.1532247263204,2167.1699385411457
790.182587232642,2161.7244901544864
765.472858444557,2352.72055413458
824.7212031945095,2487.6013610035598
686.1648664643566,2395.9724957252142
790.0643010161039,2304.9338519652997
878.8447433970616,2574.6469954536688
684.1798581207222,2280.8784019097393
932.0864523748887,2485.710372981138
610.7220356692746,2180.007852205197
785.7670726215977,2500.033882723061
531.0806394130313,2071.0771377976853
449.7732497421044,2720.098011286976
472.994907868677,2561.682888564676
487.66327124569773,2562.0644546089306
731.6419845570146,4121.779416030955
616.7475667175563,3678.5554411627522
430.2865127354261,3633.8990609183306
1012.6312774798541,2517.1934684295134
